Site ID,Site Name,Site Type,Year,Total Enrollment,# Asian,% Asian,# Black,% Black,# Hispanic,% Hispanic,# White,% White,# Multiple Race Categories Not Represented,% Multiple Race Categories Not Represented,# Female,% Female,# Male,% Male
02M011,P.S. 011 William T. Harris,PS,2015-16,18,1,5.6,0,0,7,38.9,9,50,1,5.6,9,50,9,50
02M011,P.S. 11 William T. Harris,PS,2016-17,18,3,16.7,2,11.1,6,33.3,7,38.9,0,0,10,55.6,8,44.4
02M011,P.S. 11 William T. Harris,PS,2017-18,18,2,11.1,1,5.6,3,16.7,12,66.7,0,0,9,50,9,50
02M033,P.S. 033 Chelsea Prep,PS,2015-16,30,5,16.7,4,13.3,11,36.7,7,23.3,3,10,18,60,12,40
02M033,P.S. 33 Chelsea Prep,PS,2016-17,34,3,8.8,9,26.5,12,35.3,8,23.5,2,5.9,21,61.8,13,38.2
02M033,P.S. 33 Chelsea Prep,PS,2017-18,36,8,22.2,7,19.4,11,30.6,9,25,1,2.8,18,50,18,50
02M040,P.S. 040 Augustus Saint-Gaudens,PS,2015-16,36,2,5.6,2,5.6,6,16.7,23,63.9,3,8.3,16,44.4,20,55.6
02M040,P.S. 40 Augustus Saint-Gaudens,PS,2016-17,35,7,20,1,2.9,4,11.4,22,62.9,1,2.9,19,54.3,16,45.7
02M040,P.S. 40 Augustus Saint-Gaudens,PS,2017-18,36,6,16.7,0,0,8,22.2,19,52.8,3,8.3,22,61.1,14,38.9
02M041,P.S. 041 Greenwich Village,PS,2015-16,36,7,19.4,0,0,1,2.8,26,72.2,2,5.6,18,50,18,50
02M041,P.S. 41 Greenwich Village,PS,2016-17,36,2,5.6,0,0,2,5.6,23,63.9,9,25,21,58.3,15,41.7
02M041,P.S. 41 Greenwich Village,PS,2017-18,36,2,5.6,1,2.8,3,8.3,27,75,3,8.3,21,58.3,15,41.7
02M042,P.S. 042 Benjamin Altman,PS,2015-16,46,39,84.8,0,0,6,13,1,2.2,0,0,23,50,23,50
02M042,P.S. 42 Benjamin Altman,PS,2016-17,38,30,78.9,1,2.6,6,15.8,1,2.6,0,0,19,50,19,50
02M042,P.S. 42 Benjamin Altman,PS,2017-18,42,27,64.3,2,4.8,5,11.9,8,19,0,0,17,40.5,25,59.5
02M051,P.S. 051 Elias Howe,PS,2015-16,48,17,35.4,6,12.5,11,22.9,14,29.2,0,0,20,41.7,28,58.3
02M051,P.S. 51 Elias Howe,PS,2016-17,49,16,32.7,4,8.2,17,34.7,12,24.5,0,0,27,55.1,22,44.9
02M051,P.S. 51 Elias Howe,PS,2017-18,68,16,23.5,4,5.9,20,29.4,21,30.9,7,10.3,30,44.1,38,55.9
02M059,P.S. 059 Beekman Hill International,PS,2017-18,20,2,10,0,0,0,0,15,75,3,15,11,55,9,45
02M089,P.S. 89,PS,2015-16,36,9,25,1,2.8,4,11.1,20,55.6,2,5.6,14,38.9,22,61.1
02M089,P.S. 89,PS,2016-17,36,8,22.2,2,5.6,7,19.4,16,44.4,3,8.3,20,55.6,16,44.4
02M089,P.S. 89,PS,2017-18,36,8,22.2,0,0,2,5.6,20,55.6,6,16.7,18,50,18,50
02M111,P.S. 111 Adolph S. Ochs,PS,2015-16,37,8,21.6,4,10.8,16,43.2,8,21.6,1,2.7,23,62.2,14,37.8
02M111,P.S. 111 Adolph S. Ochs,PS,2016-17,43,9,20.9,3,7,13,30.2,15,34.9,3,7,21,48.8,22,51.2
02M111,P.S. 111 Adolph S. Ochs,PS,2017-18,46,8,17.4,5,10.9,18,39.1,13,28.3,2,4.3,23,50,23,50
02M116,P.S. 116 Mary Lindley Murray,PS,2015-16,47,7,14.9,2,4.3,8,17,24,51.1,6,12.8,25,53.2,22,46.8
02M116,P.S. 116 Mary Lindley Murray,PS,2016-17,46,17,37,2,4.3,2,4.3,20,43.5,5,10.9,24,52.2,22,47.8
02M116,P.S. 116 Mary Lindley Murray,PS,2017-18,47,10,21.3,0,0,6,12.8,24,51.1,7,14.9,25,53.2,22,46.8
02M124,P.S. 124 Yung Wing,PS,2015-16,71,71,100,0,0,0,0,0,0,0,0,37,52.1,34,47.9
02M124,P.S. 124 Yung Wing,PS,2016-17,71,67,94.4,0,0,1,1.4,0,0,3,4.2,36,50.7,35,49.3
02M124,P.S. 124 Yung Wing,PS,2017-18,56,53,94.6,0,0,0,0,1,1.8,2,3.6,26,46.4,30,53.6
02M126,P.S. 126 Jacob August Riis,PS,2015-16,31,15,48.4,7,22.6,6,19.4,2,6.5,1,3.2,20,64.5,11,35.5
02M126,P.S. 126 Jacob August Riis,PS,2016-17,42,19,45.2,5,11.9,15,35.7,2,4.8,1,2.4,27,64.3,15,35.7
02M126,P.S. 126 Jacob August Riis,PS,2017-18,28,9,32.1,5,17.9,10,35.7,3,10.7,1,3.6,12,42.9,16,57.1
02M130,P.S. 130 Hernando De Soto,PS,2015-16,18,14,77.8,0,0,2,11.1,1,5.6,1,5.6,13,72.2,5,27.8
02M130,P.S. 130 Hernando De Soto,PS,2016-17,36,32,88.9,1,2.8,2,5.6,1,2.8,0,0,14,38.9,22,61.1
02M130,P.S. 130 Hernando De Soto,PS,2017-18,36,29,80.6,0,0,2,5.6,2,5.6,3,8.3,10,27.8,26,72.2
02M150,P.S. 150,PS,2015-16,18,4,22.2,0,0,5,27.8,8,44.4,1,5.6,9,50,9,50
02M150,P.S. 150,PS,2016-17,18,2,11.1,0,0,2,11.1,12,66.7,2,11.1,11,61.1,7,38.9
02M150,P.S. 150,PS,2017-18,18,7,38.9,0,0,1,5.6,10,55.6,0,0,6,33.3,12,66.7
02M151,Yorkville Community School,PS,2016-17,19,7,36.8,1,5.3,2,10.5,8,42.1,1,5.3,9,47.4,10,52.6
02M151,Yorkville Community School,PS,2017-18,40,4,10,4,10,1,2.5,25,62.5,6,15,15,37.5,25,62.5
02M158,P.S. 158 Bayard Taylor,PS,2015-16,72,14,19.4,2,2.8,2,2.8,48,66.7,6,8.3,38,52.8,34,47.2
02M158,P.S. 158 Bayard Taylor,PS,2016-17,71,17,23.9,0,0,2,2.8,47,66.2,5,7,35,49.3,36,50.7
02M158,P.S. 158 Bayard Taylor,PS,2017-18,72,10,13.9,3,4.2,4,5.6,52,72.2,3,4.2,40,55.6,32,44.4
02M183,P.S. 183 Robert L. Stevenson,PS,2016-17,20,1,5,1,5,2,10,16,80,0,0,10,50,10,50
02M183,P.S. 183 Robert L. Stevenson,PS,2017-18,40,8,20,0,0,4,10,25,62.5,3,7.5,19,47.5,21,52.5
02M198,P.S. 198 Isador E. Ida Straus,PS,2015-16,47,6,12.8,1,2.1,2,4.3,38,80.9,0,0,28,59.6,19,40.4
02M198,P.S. 198 Isador E. Ida Straus,PS,2016-17,53,9,17,3,5.7,5,9.4,35,66,1,1.9,31,58.5,22,41.5
02M198,P.S. 198 Isador E. Ida Straus,PS,2017-18,49,11,22.4,1,2,13,26.5,23,46.9,1,2,17,34.7,32,65.3
02M212,P.S. 212 Midtown West,PS,2015-16,36,4,11.1,1,2.8,8,22.2,16,44.4,7,19.4,20,55.6,16,44.4
02M212,P.S. 212 Midtown West,PS,2016-17,36,6,16.7,3,8.3,6,16.7,18,50,3,8.3,22,61.1,14,38.9
02M212,P.S. 212 Midtown West,PS,2017-18,36,5,13.9,1,2.8,6,16.7,18,50,6,16.7,15,41.7,21,58.3
02M217,P.S./I.S. 217 Roosevelt Island,PS,2015-16,36,10,27.8,2,5.6,3,8.3,18,50,3,8.3,15,41.7,21,58.3
02M217,P.S./I.S. 217 Roosevelt Island,PS,2016-17,28,9,32.1,5,17.9,2,7.1,8,28.6,4,14.3,17,60.7,11,39.3
02M217,P.S./I.S. 217 Roosevelt Island,PS,2017-18,36,15,41.7,1,2.8,6,16.7,11,30.6,3,8.3,18,50,18,50
02M225,Ella Baker School,PS,2015-16,54,6,11.1,0,0,5,9.3,41,75.9,2,3.7,33,61.1,21,38.9
02M225,Ella Baker School,PS,2016-17,38,9,23.7,1,2.6,7,18.4,18,47.4,3,7.9,19,50,19,50
02M225,Ella Baker School,PS,2017-18,40,5,12.5,2,5,1,2.5,29,72.5,3,7.5,24,60,16,40
02M267,"East Side Elementary School, P.S. 267",PS,2015-16,18,1,5.6,0,0,0,0,16,88.9,1,5.6,8,44.4,10,55.6
02M267,"East Side Elementary School, P.S. 267",PS,2016-17,20,0,0,0,0,3,15,17,85,0,0,9,45,11,55
02M281,P.S. 281 The River School,PS,2015-16,34,6,17.6,5,14.7,3,8.8,19,55.9,1,2.9,18,52.9,16,47.1
02M281,The River School,PS,2016-17,34,7,20.6,5,14.7,0,0,21,61.8,1,2.9,20,58.8,14,41.2
02M281,The River School,PS,2017-18,36,12,33.3,0,0,4,11.1,19,52.8,1,2.8,20,55.6,16,44.4
02M290,P.S. 290 Manhattan New School,PS,2017-18,40,4,10,3,7.5,4,10,28,70,1,2.5,20,50,20,50
02M340,Sixth Avenue Elementary School,PS,2015-16,70,7,10,2,2.9,6,8.6,48,68.6,7,10,34,48.6,36,51.4
02M340,Sixth Avenue Elementary School,PS,2016-17,63,6,9.5,2,3.2,5,7.9,39,61.9,11,17.5,35,55.6,28,44.4
02M340,Sixth Avenue Elementary School,PS,2017-18,71,4,5.6,1,1.4,10,14.1,50,70.4,6,8.5,38,53.5,33,46.5
02M343,The Peck Slip School,PS,2015-16,36,5,13.9,1,2.8,5,13.9,21,58.3,4,11.1,20,55.6,16,44.4
02M343,The Peck Slip School,PS,2016-17,36,3,8.3,1,2.8,5,13.9,21,58.3,6,16.7,18,50,18,50
02M343,The Peck Slip School,PS,2017-18,35,7,20,2,5.7,3,8.6,18,51.4,5,14.3,15,42.9,20,57.1
02M347,The 47 American Sign Language & English Lower School,Special Education,2015-16,30,3,10,6,20,10,33.3,9,30,2,6.7,13,43.3,17,56.7
06M004,P.S. 4 Duke Ellington,PS,2016-17,17,0,0,0,0,15,88.2,0,0,2,11.8,8,47.1,9,52.9
02M347,The 47 American Sign Language & English Lower School,Special Education,2016-17,33,3,9.1,6,18.2,10,30.3,12,36.4,2,6.1,14,42.4,19,57.6
02M347,The 47 American Sign Language & English Lower School,Special Education,2017-18,25,0,0,2,8,4,16,14,56,5,20,14,56,11,44
02M397,SPRUCE STREET SCHOOL,PS,2015-16,35,4,11.4,1,2.9,3,8.6,21,60,6,17.1,16,45.7,19,54.3
02M397,Spruce Street School,PS,2016-17,36,8,22.2,0,0,3,8.3,21,58.3,4,11.1,20,55.6,16,44.4
02M397,Spruce Street School,PS,2017-18,18,1,5.6,0,0,4,22.2,9,50,4,22.2,8,44.4,10,55.6
03M009,P.S. 009 Sarah Anderson,PS,2015-16,18,2,11.1,0,0,0,0,14,77.8,2,11.1,5,27.8,13,72.2
03M009,P.S. 9 Sarah Anderson,PS,2016-17,18,2,11.1,0,0,3,16.7,11,61.1,2,11.1,7,38.9,11,61.1
03M009,P.S. 9 Sarah Anderson,PS,2017-18,18,0,0,0,0,2,11.1,14,77.8,2,11.1,5,27.8,13,72.2
03M076,P.S. 076 A. Philip Randolph,PS,2015-16,49,2,4.1,34,69.4,10,20.4,3,6.1,0,0,27,55.1,22,44.9
03M076,P.S. 76 A. Philip Randolph,PS,2016-17,38,0,0,21,55.3,15,39.5,2,5.3,0,0,20,52.6,18,47.4
03M076,P.S. 76 A. Philip Randolph,PS,2017-18,36,0,0,29,80.6,7,19.4,0,0,0,0,18,50,18,50
03M084,P.S. 084 Lillian Weber,PS,2015-16,36,1,2.8,4,11.1,8,22.2,20,55.6,3,8.3,18,50,18,50
03M084,P.S. 84 Lillian Weber,PS,2016-17,36,3,8.3,3,8.3,7,19.4,19,52.8,4,11.1,19,52.8,17,47.2
03M084,P.S. 84 Lillian Weber,PS,2017-18,105,3,2.9,3,2.9,21,20,71,67.6,7,6.7,63,60,42,40
03M087,P.S. 087 William Sherman,PS,2015-16,17,2,11.8,1,5.9,3,17.6,8,47.1,3,17.6,6,35.3,11,64.7
03M087,P.S. 87 William Sherman,PS,2016-17,19,2,10.5,0,0,3,15.8,13,68.4,1,5.3,6,31.6,13,68.4
03M087,P.S. 87 William Sherman,PS,2017-18,18,2,11.1,0,0,1,5.6,13,72.2,2,11.1,8,44.4,10,55.6
03M145,"P.S. 145, The Bloomingdale School",PS,2015-16,49,1,2,10,20.4,21,42.9,16,32.7,1,2,26,53.1,23,46.9
03M145,"P.S. 145, The Bloomingdale School",PS,2016-17,51,0,0,11,21.6,29,56.9,7,13.7,4,7.8,31,60.8,20,39.2
03M145,"P.S. 145, The Bloomingdale School",PS,2017-18,45,2,4.4,10,22.2,14,31.1,18,40,1,2.2,19,42.2,26,57.8
03M149,P.S. 149 Sojourner Truth,PS,2015-16,27,0,0,19,70.4,7,25.9,1,3.7,0,0,13,48.1,14,51.9
03M149,P.S. 149 Sojourner Truth,PS,2016-17,22,0,0,9,40.9,9,40.9,4,18.2,0,0,12,54.5,10,45.5
03M149,P.S. 149 Sojourner Truth,PS,2017-18,18,0,0,11,61.1,3,16.7,4,22.2,0,0,11,61.1,7,38.9
03M163,P.S. 163 Alfred E. Smith,PS,2015-16,29,2,6.9,4,13.8,11,37.9,9,31,3,10.3,13,44.8,16,55.2
03M163,P.S. 163 Alfred E. Smith,PS,2016-17,28,2,7.1,5,17.9,9,32.1,9,32.1,3,10.7,18,64.3,10,35.7
03M163,P.S. 163 Alfred E. Smith,PS,2017-18,31,3,9.7,2,6.5,13,41.9,12,38.7,1,3.2,17,54.8,14,45.2
03M165,P.S. 165 Robert E. Simon,PS,2015-16,28,1,3.6,2,7.1,14,50,11,39.3,0,0,17,60.7,11,39.3
03M165,P.S. 165 Robert E. Simon,PS,2016-17,34,3,8.8,3,8.8,12,35.3,16,47.1,0,0,13,38.2,21,61.8
03M165,P.S. 165 Robert E. Simon,PS,2017-18,31,2,6.5,7,22.6,11,35.5,11,35.5,0,0,13,41.9,18,58.1
03M180,P.S. 180 Hugo Newman,PS,2015-16,69,1,1.4,22,31.9,24,34.8,16,23.2,6,8.7,41,59.4,28,40.6
03M180,P.S. 180 Hugo Newman,PS,2016-17,82,4,4.9,22,26.8,27,32.9,26,31.7,3,3.7,45,54.9,37,45.1
03M180,P.S. 180 Hugo Newman,PS,2017-18,83,3,3.6,31,37.3,17,20.5,23,27.7,9,10.8,41,49.4,42,50.6
04M102,P.S. 102 Jacques Cartier,PS,2017-18,21,2,9.5,6,28.6,10,47.6,2,9.5,1,4.8,11,52.4,10,47.6
03M185,P.S. 185 - The Early Childhood Discovery and Design Magnet School,PS,2015-16,58,3,5.2,29,50,11,19,6,10.3,9,15.5,31,53.4,27,46.6
03M185,P.S. 185 - The Early Childhood Discovery and Design Magnet School,PS,2016-17,61,3,4.9,32,52.5,13,21.3,8,13.1,5,8.2,38,62.3,23,37.7
03M185,P.S. 185 - The Early Childhood Discovery and Design Magnet School,PS,2017-18,67,3,4.5,30,44.8,22,32.8,7,10.4,5,7.5,25,37.3,42,62.7
03M191,P.S. 191 Amsterdam,PS,2015-16,64,7,10.9,22,34.4,10,15.6,24,37.5,1,1.6,30,46.9,34,53.1
03M191,P.S. 191 Amsterdam,PS,2016-17,68,12,17.6,10,14.7,14,20.6,32,47.1,0,0,31,45.6,37,54.4
03M191,The Riverside School for Makers and Artists,PS,2017-18,72,7,9.7,10,13.9,11,15.3,44,61.1,0,0,37,51.4,35,48.6
03M242,P.S. 242 - The Young Diplomats Magnet Academy,PS,2015-16,18,0,0,9,50,7,38.9,0,0,2,11.1,11,61.1,7,38.9
03M242,P.S. 242 - The Young Diplomats Magnet Academy,PS,2016-17,18,0,0,11,61.1,6,33.3,0,0,1,5.6,8,44.4,10,55.6
03M242,P.S. 242 - The Young Diplomats Magnet Academy,PS,2017-18,18,0,0,11,61.1,4,22.2,0,0,3,16.7,8,44.4,10,55.6
03M452,P.S. 452,PS,2017-18,53,9,17,2,3.8,6,11.3,35,66,1,1.9,29,54.7,24,45.3
04M007,P.S. 007 Samuel Stern,PS,2015-16,28,1,3.6,13,46.4,14,50,0,0,0,0,13,46.4,15,53.6
04M007,P.S. 7 Samuel Stern,PS,2016-17,25,1,4,5,20,18,72,1,4,0,0,13,52,12,48
04M007,P.S. 7 Samuel Stern,PS,2017-18,20,0,0,4,20,15,75,1,5,0,0,10,50,10,50
04M037,River East Elementary,PS,2015-16,13,0,0,8,61.5,2,15.4,1,7.7,2,15.4,6,46.2,7,53.8
04M037,River East Elementary,PS,2016-17,13,0,0,4,30.8,9,69.2,0,0,0,0,6,46.2,7,53.8
04M037,River East Elementary,PS,2017-18,17,0,0,1,5.9,11,64.7,3,17.6,2,11.8,7,41.2,10,58.8
04M038,P.S. 38 Roberto Clemente,PS,2015-16,27,2,7.4,1,3.7,20,74.1,2,7.4,2,7.4,12,44.4,15,55.6
04M038,P.S. 38 Roberto Clemente,PS,2016-17,27,1,3.7,11,40.7,13,48.1,1,3.7,1,3.7,6,22.2,21,77.8
04M038,P.S. 38 Roberto Clemente,PS,2017-18,26,2,7.7,6,23.1,16,61.5,2,7.7,0,0,16,61.5,10,38.5
04M057,James Weldon Johnson,PS,2015-16,36,0,0,15,41.7,21,58.3,0,0,0,0,20,55.6,16,44.4
04M057,James Weldon Johnson,PS,2016-17,36,4,11.1,6,16.7,25,69.4,1,2.8,0,0,19,52.8,17,47.2
04M057,James Weldon Johnson,PS,2017-18,35,1,2.9,7,20,25,71.4,1,2.9,1,2.9,16,45.7,19,54.3
04M072,The Lexington Academy,PS,2015-16,44,0,0,4,9.1,35,79.5,5,11.4,0,0,22,50,22,50
04M072,The Lexington Academy,PS,2016-17,39,3,7.7,6,15.4,30,76.9,0,0,0,0,21,53.8,18,46.2
04M072,The Lexington Academy,PS,2017-18,26,1,3.8,4,15.4,20,76.9,1,3.8,0,0,12,46.2,14,53.8
04M083,P.S. 083 Luis Munoz Rivera,PS,2015-16,18,2,11.1,1,5.6,14,77.8,1,5.6,0,0,9,50,9,50
04M083,P.S. 83 Luis Munoz Rivera,PS,2016-17,18,4,22.2,3,16.7,11,61.1,0,0,0,0,10,55.6,8,44.4
04M083,P.S. 83 Luis Munoz Rivera,PS,2017-18,18,2,11.1,3,16.7,12,66.7,1,5.6,0,0,9,50,9,50
04M096,P.S. 096 Joseph Lanzetta,PS,2015-16,17,0,0,1,5.9,14,82.4,2,11.8,0,0,12,70.6,5,29.4
04M096,P.S. 96 Joseph Lanzetta,PS,2016-17,8,1,12.5,0,0,6,75,0,0,1,12.5,4,50,4,50
04M096,P.S. 96 Joseph Lanzetta,PS,2017-18,14,0,0,2,14.3,11,78.6,1,7.1,0,0,8,57.1,6,42.9
04M102,P.S. 102 Jacques Cartier,PS,2015-16,14,4,28.6,2,14.3,7,50,1,7.1,0,0,9,64.3,5,35.7
04M102,P.S. 102 Jacques Cartier,PS,2016-17,24,1,4.2,5,20.8,12,50,2,8.3,4,16.7,14,58.3,10,41.7
04M108,P.S. 108 Assemblyman Angelo Del Toro Educational Complex,PS,2015-16,17,0,0,4,23.5,12,70.6,1,5.9,0,0,4,23.5,13,76.5
04M108,P.S. 108 Assemblyman Angelo Del Toro Educational Complex,PS,2016-17,17,0,0,4,23.5,11,64.7,2,11.8,0,0,11,64.7,6,35.3
04M108,P.S. 108 Assemblyman Angelo Del Toro Educational Complex,PS,2017-18,13,0,0,4,30.8,8,61.5,1,7.7,0,0,10,76.9,3,23.1
04M112,P.S. 112 Jose Celso Barbosa,PS,2015-16,25,0,0,8,32,16,64,1,4,0,0,14,56,11,44
04M112,P.S. 112 Jose Celso Barbosa,PS,2016-17,28,2,7.1,6,21.4,19,67.9,0,0,1,3.6,14,50,14,50
04M112,P.S. 112 Jose Celso Barbosa,PS,2017-18,29,2,6.9,10,34.5,15,51.7,2,6.9,0,0,17,58.6,12,41.4
