Site ID,Program Code,Program Name,Address 1,Address 2,Program Type,Enrollment,Daily Start Time,Length of Pre-K Day,Early Drop-Off Available,Late Pick-Up Available,Meals,Playspace,Dual Language,Collaborative Teachers - Survey Percent Positive,Supportive Environment - Survey Percent Positive,Effective School Leadership - Survey Percent Positive,Strong Family-Community Ties - Survey Percent Positive,Trust - Survey Percent Positive,Survey - Number of Guardian Responses,Survey - Guardian Response Rate,CLASS Most Recent Assessment Year,CLASS Emotional Support Score,CLASS Emotional Support Rating,CLASS Classroom Organization Score,CLASS Classroom Organization Rating,CLASS Instructional Support Score,CLASS Instructional Support Rating,ECERS Most Recent Assessment Year,ECERS Observation Average Score,ECERS Observation Average Rating,ECERS Language Reasoning Score,ECERS Language Reasoning Rating,ECERS Interaction Score,ECERS Interaction Rating,ECERS Activities Score,ECERS Activities Rating,ECERS Personal Care Routines Score,ECERS Personal Care Routines Rating,ECERS Space and Furnishings Score,ECERS Space and Furnishings Rating,ECERS Program Structure Score,ECERS Program Structure Rating,Quality Review - Date of Review,Quality Review - How well do teachers work with each other?
01M184,01M184,P.S. 184 Shuang Wen,327 Cherry Street,"New York, NY 10002",District School,36,1899-12-31T08:20:00.000,Full day,true,true,Breakfast/Lunch,Indoor/Outdoor (onsite) playspace,,78%,92%,73%,88%,82%,26,74%,2015-16 School Year,6.8,4,6.6,4,2,2,2014-15 School Year,2.8,1,4,3,3.4,3,2.9,1,1.5,2,2.8,1,3,2,"October 01, 2016",3
01M188,01M188,P.S. 188 The Island School,442 East Houston Street,"New York, NY 10002",District School,29,1899-12-31T08:30:00.000,Full day,false,true,Breakfast/Lunch/Snack(s),Indoor/Outdoor (onsite) playspace,Dual Language (Spanish),100%,100%,100%,98%,100%,17,59%,N/A,,,,,,,2016-17 School Year,3.4,3,3.5,3,2.8,1,4.5,3,2,2,4.3,3,1.7,1,"January 21, 2016",3
01M315,01M315,The East Village Community School,610 East 12th Street,"New York, NY 10009",District School,36,1899-12-31T08:30:00.000,Full day,true,true,Breakfast/Lunch,Indoor/Outdoor (onsite) playspace,,81%,100%,100%,96%,100%,10,29%,2016-17 School Year,6.6,4,5.7,3,3.3,3,2015-16 School Year,3.3,2,5.8,4,4.4,3,2.4,1,2.3,3,2.9,1,3.7,3,"May 05, 2016",3
01M361,01M361,The Children's Workshop School,610 East 12th Street,"New York, NY 10009",District School,35,1899-12-31T08:40:00.000,Full day,false,false,Breakfast/Lunch,Indoor/Outdoor (onsite) playspace,,93%,97%,96%,91%,96%,12,34%,2016-17 School Year,6.4,4,5.8,3,3,2,2014-15 School Year,4,3,5,4,4.8,3,4.3,3,3.2,3,3.6,3,3.5,3,"May 10, 2016",3
01M363,01M363,Neighborhood School,121 East 3rd Street,"New York, NY 10009",District School,18,1899-12-31T08:25:00.000,Full day,true,true,Breakfast/Lunch,Indoor/Outdoor (onsite) playspace,,94%,100%,100%,96%,100%,6,33%,N/A,,,,,,,2015-16 School Year,3.3,2,4.8,3,4.2,3,4.2,3,1.5,2,2.3,1,3.3,2,"April 01, 2015",3
01M364,01M364,Earth School,600 East 6th Street,"New York, NY 10009",District School,36,1899-12-31T08:30:00.000,Full day,true,true,Breakfast/Lunch,Indoor/Outdoor (onsite) playspace,,96%,91%,92%,94%,91%,22,63%,N/A,,,,,,,2015-16 School Year,2.7,1,3,2,2.8,1,3.1,2,1.5,2,2.4,1,3.5,3,"March 03, 2015",4
02M001,02M001,P.S. 1 Alfred E. Smith,8 Henry Street,"New York, NY 10038",District School,34,1899-12-31T08:15:00.000,Full day,false,false,Breakfast/Lunch/Snack(s),Indoor/Outdoor (onsite) playspace,Dual Language (Chinese),83%,100%,100%,97%,98%,17,52%,2016-17 School Year,6.9,4,6.9,4,3.5,3,2015-16 School Year,3.3,2,5,4,2.2,1,4.2,3,1.8,2,2.5,1,4.3,3,"May 13, 2016",3
02M002,02M002,P.S. 2 Meyer London,122 Henry Street,"New York, NY 10002",District School,36,1899-12-31T08:15:00.000,Full day,false,true,Breakfast/Lunch,Outdoor (onsite) playspace,,87%,100%,100%,97%,100%,20,61%,2016-17 School Year,6.8,4,6.8,4,2.7,2,2015-16 School Year,3.4,3,4.8,3,4.4,3,2.7,1,3,3,3.3,2,4,3,"April 01, 2017",3
02M003,02M003,P.S. 3 Charrette School,490 Hudson Street,"New York, NY 10014",District School,50,1899-12-31T08:20:00.000,Full day,false,true,Breakfast/Lunch,Indoor/Outdoor (onsite) playspace,,94%,100%,93%,94%,93%,14,30%,2014-15 School Year,5.3,3,6.1,4,2.4,2,2015-16 School Year,3.8,3,4.5,3,6,4,4.2,3,2.7,3,2.5,1,3.7,3,"October 29, 2015",3
02M006,02M006,P.S. 6 Lillie D. Blake,45 East 81 Street,"New York, NY 10028",District School,40,1899-12-31T08:15:00.000,Full day,false,false,Breakfast/Lunch,Outdoor (onsite) playspace,,86%,94%,83%,84%,85%,12,31%,N/A,,,,,,,2016-17 School Year,4.9,3,7,4,5.8,4,5.2,4,2.7,3,5,4,4.3,3,"May 17, 2016",4
02M011,02M011,P.S. 11 William T. Harris,320 West 21st Street,"New York, NY 10011",District School,18,N/A,Full day,false,false,Breakfast/Lunch/Snack(s),Indoor/Outdoor (onsite) playspace,,95%,100%,100%,98%,100%,5,29%,N/A,,,,,,,2016-17 School Year,4.1,3,4.5,3,6,4,4.5,3,2.2,2,3.4,3,4.8,3,"May 12, 2015",4
02M033,02M033,P.S. 33 Chelsea Prep,281 Ninth Avenue,"New York, NY 10001",District School,34,1899-12-31T08:20:00.000,Full day,false,true,Breakfast/Lunch,Indoor/Outdoor (onsite) playspace,,78%,97%,100%,95%,98%,12,40%,N/A,,,,,,,2016-17 School Year,4.8,3,6.3,4,6.4,4,5.5,4,2.8,3,3.6,3,5.3,4,"May 06, 2016",4
02M040,02M040,P.S. 40 Augustus Saint-Gaudens,319 East 19th Street,"New York, NY 10003",District School,35,1899-12-31T08:20:00.000,Full day,false,false,Breakfast/Lunch,Indoor/Outdoor (onsite) playspace,,96%,90%,90%,93%,90%,10,29%,2016-17 School Year,6.8,4,6.9,4,3.6,3,2014-15 School Year,4.7,3,5.3,4,5.8,4,4.8,3,2.7,3,5.1,4,5,4,"March 30, 2016",4
02M041,02M041,P.S. 41 Greenwich Village,116 West 11th Street,"New York, NY 10011",District School,36,1899-12-31T08:40:00.000,Full day,true,true,Contact program directly for details,Please contact site for more information,,97%,96%,100%,98%,100%,8,23%,2016-17 School Year,6.8,4,6.4,4,2.4,2,2015-16 School Year,3.6,3,5.5,4,4.6,3,3.3,2,2.2,2,3.6,3,2.7,1,"May 19, 2016",4
02M042,02M042,P.S. 42 Benjamin Altman,71 Hester Street,"New York, NY 10002",District School,38,1899-12-31T08:20:00.000,Full day,false,true,Breakfast/Lunch/Snack(s),Indoor/Outdoor (onsite) playspace,,96%,100%,99%,99%,99%,25,69%,2015-16 School Year,6.8,4,6.6,4,2.4,2,2014-15 School Year,4.4,3,5.3,4,4.8,3,4.6,3,2.5,3,4.5,3,5.3,4,"May 15, 2015",3
02M051,02M051,P.S. 51 Elias Howe,525 West 44th Street,"New York, NY 10036",District School,49,1899-12-31T08:15:00.000,Full day,false,true,Breakfast/Lunch/Snack(s),Indoor/Outdoor (onsite) playspace,,93%,97%,96%,93%,94%,35,73%,2015-16 School Year,6.1,4,5.9,3,1.7,1,2016-17 School Year,3.1,2,3,2,3.4,3,2.7,1,3,3,3.4,3,3,2,"December 12, 2014",4
02M089,02M089,P.S. 89,201 Warren Street,"New York, NY 10282",District School,36,1899-12-31T08:40:00.000,Full day,false,false,Breakfast/Lunch,Outdoor (onsite) playspace,,93%,96%,100%,100%,100%,15,45%,2016-17 School Year,6.7,4,6.3,4,3,2,2015-16 School Year,3.9,3,6.3,4,4.8,3,3.7,3,1.8,2,3.5,3,4.8,3,"May 01, 2017",4
02M111,02M111,P.S. 111 Adolph S. Ochs,440 West 53rd Street,"New York, NY 10019",District School,43,1899-12-31T08:20:00.000,Full day,false,true,Breakfast/Lunch,Indoor/Outdoor (onsite) playspace,,85%,100%,100%,94%,100%,18,45%,2016-17 School Year,6.5,4,6.5,4,3.2,2,2015-16 School Year,3.3,2,3.3,2,4.8,3,2.6,1,2,2,4.1,3,3.3,2,"November 01, 2016",3
02M116,02M116,P.S. 116 Mary Lindley Murray,210 East 33rd Street,"New York, NY 10016",District School,46,1899-12-31T08:15:00.000,Full day,false,false,Breakfast/Lunch,Outdoor (onsite) playspace,,92%,98%,100%,99%,100%,15,36%,2015-16 School Year,6.4,4,6.4,4,1.6,1,2014-15 School Year,3.8,3,5.3,4,5.4,4,3.9,3,2.3,3,3.1,2,3.7,3,"May 07, 2015",4
02M124,02M124,P.S. 124 Yung Wing,40 Division Street,"New York, NY 10002",District School,71,1899-12-31T08:10:00.000,Full day,true,false,Breakfast/Lunch/Snack(s),Indoor/Outdoor (onsite) playspace,,72%,99%,100%,95%,100%,41,62%,2016-17 School Year,6.7,4,6.4,4,3,2,2015-16 School Year,4.9,3,6.5,4,6,4,5,4,3.6,3,4,3,5.5,4,"January 01, 2017",4
02M126,02M126,P.S. 126 Jacob August Riis,80 Catherine Street,"New York, NY 10038",District School,42,1899-12-31T08:20:00.000,Full day,false,false,Breakfast/Lunch,Indoor/Outdoor (offsite) playspace,,88%,100%,100%,95%,100%,14,35%,2015-16 School Year,6.1,4,6.4,4,2.1,2,2014-15 School Year,3.8,3,4.8,3,5.4,4,3.7,3,2.3,3,3.9,3,2.7,1,"November 14, 2014",4
02M130,02M130,P.S. 130 Hernando De Soto,143 Baxter Street,"New York, NY 10013",District School,36,1899-12-31T08:15:00.000,Full day,false,false,Breakfast/Lunch,Indoor/Outdoor (onsite) playspace,,96%,100%,92%,91%,98%,18,50%,2016-17 School Year,6.6,4,6.3,4,3.1,2,2015-16 School Year,4.5,3,6.8,4,5.6,4,4.4,3,3,3,3.9,3,4.5,3,"February 27, 2015",3
02M150,02M150,P.S. 150,334 Greenwich Street,"New York, NY 10013",District School,18,1899-12-31T08:40:00.000,Full day,false,false,Breakfast/Lunch,Outdoor (onsite) playspace,,99%,97%,95%,97%,99%,11,61%,2016-17 School Year,6.9,4,6.8,4,2.9,2,2015-16 School Year,4.1,3,5.8,4,6.4,4,4.4,3,2.2,2,3,2,3.7,3,"March 12, 2015",3
02M151,02M151,Yorkville Community School,421 East 88 Street,"New York, NY 10128",District School,19,1899-12-31T08:40:00.000,Full day,false,true,Breakfast/Lunch/Snack(s),Please contact site for more information,,96%,100%,100%,93%,100%,6,33%,N/A,,,,,,,2016-17 School Year,4.6,3,6.3,4,6,4,5.3,4,2.5,3,4.3,3,2.3,1,"November 24, 2015",4
02M158,02M158,P.S. 158 Bayard Taylor,1458 York Avenue,"New York, NY 10075",District School,71,1899-12-31T08:30:00.000,Full day,false,true,Breakfast/Lunch,Indoor/Outdoor (onsite) playspace,,84%,99%,100%,96%,99%,32,48%,2015-16 School Year,6.9,4,6.5,4,2.2,2,2014-15 School Year,3.5,3,4,3,5.6,4,3.9,3,2.3,3,2.9,1,2.3,1,"May 11, 2015",4
02M183,02M183,P.S. 183 Robert L. Stevenson,419 East 66 Street,"New York, NY 10065",District School,20,1899-12-31T08:30:00.000,Full day,false,true,Contact program directly for details,Please contact site for more information,,89%,,,,,4,20%,N/A,,,,,,,2016-17 School Year,4.4,3,5.5,4,5.8,4,4.2,3,2.7,3,4,3,5.5,4,"March 31, 2015",4
02M198,02M198,P.S. 198 Isador E. Ida Straus,1700 Third Avenue,"New York, NY 10128",District School,53,1899-12-31T08:00:00.000,Full day,false,false,Breakfast/Lunch,Indoor/Outdoor (onsite) playspace,,83%,93%,90%,92%,94%,25,49%,2016-17 School Year,6.6,4,6.7,4,2.4,2,2014-15 School Year,3.3,2,4.5,3,4.8,3,3.2,2,2.3,3,3,2,2.3,1,"October 01, 2016",3
02M212,02M212,P.S. 212 Midtown West,328 West 48th Street,"New York, NY 10036",District School,36,1899-12-31T08:40:00.000,Full day,false,true,Breakfast/Lunch/Snack(s),Indoor/Outdoor (onsite) playspace,,92%,93%,95%,92%,93%,27,75%,2016-17 School Year,6.9,4,7.0,4,4.6,3,2014-15 School Year,3.7,3,4.3,3,5.2,4,4.1,3,2.2,2,3.4,3,3,2,"December 16, 2014",4
02M217,02M217,P.S./I.S. 217 Roosevelt Island,645 Main Street,"New York, NY 10044",District School,28,1899-12-31T08:25:00.000,Full day,false,false,Lunch/Snack(s),Indoor/Outdoor (onsite) playspace,,96%,92%,82%,92%,89%,14,48%,N/A,,,,,,,2016-17 School Year,4.4,3,5.3,4,4.8,3,4.6,3,1.8,2,5,4,5.7,4,"May 07, 2015",4
02M225,02M225,Ella Baker School,317 East 67th Street,"New York, NY 10065",District School,38,1899-12-31T08:30:00.000,Full day,false,true,Breakfast/Lunch/Snack(s),Indoor/Outdoor (onsite) playspace,,88%,100%,97%,95%,99%,19,53%,2015-16 School Year,6.3,4,5.6,3,1,1,2014-15 School Year,3.2,2,3.5,3,5.8,4,3.1,2,2.3,3,2.5,1,2.7,1,"April 02, 2015",4
02M281,02M281,The River School,425 East 35th Street,"New York, NY 10016",District School,34,1899-12-31T08:30:00.000,Full day,false,true,Breakfast/Lunch/Snack(s),Indoor/Outdoor (onsite) playspace,,100%,100%,99%,95%,100%,21,64%,2015-16 School Year,6.8,4,6.8,4,3.3,3,2016-17 School Year,4.9,3,7,4,5.2,4,5.9,4,2.5,3,4.5,3,4.5,3,"January 01, 2017",3
KCLE,18KCLF,"Einstein Daycare, Inc.",900 Lenox Road,"Brooklyn, NY 11203",NYCEEC,35,N/A,Full day,true,true,Breakfast/Lunch,Outdoor (onsite) playspace,,,,,,,,,2016-17 School Year,6.2,4,5.9,3,2,2,2015-16 School Year,3.9,3,6,4,5.4,4,3.9,3,2.3,3,3.5,3,2.3,1,N/A,
02M340,02M340,Sixth Avenue Elementary School,590 Sixth Avenue,"New York, NY 10011",District School,63,1899-12-31T08:20:00.000,Full day,false,true,Breakfast/Lunch,Indoor/Outdoor (onsite) playspace,,98%,95%,99%,95%,98%,36,60%,2015-16 School Year,6.6,4,6.8,4,2.8,2,2014-15 School Year,3.8,3,3.5,3,5.8,4,2.4,1,2.6,3,4.3,3,5.3,4,"April 01, 2017",3
02M343,02M343,The Peck Slip School,1 Peck Slip,"New York, NY 10038",District School,36,1899-12-31T08:15:00.000,Full day,false,false,Breakfast/Lunch/Snack(s),Please contact site for more information,,98%,98%,79%,94%,89%,17,50%,2016-17 School Year,6.5,4,5.9,3,2.1,2,2015-16 School Year,3.3,2,3.8,3,5,4,2.9,1,2.5,3,3.4,3,3,2,"November 21, 2014",3
Z031,02M397,Spruce Street School,12 Spruce Street,"New York, NY 10038",District School,36,N/A,Full day,false,false,Breakfast/Lunch/Snack(s),Indoor/Outdoor (onsite) playspace,,91%,97%,88%,96%,93%,12,36%,2014-15 School Year,5.8,3,5.6,3,3.2,2,2015-16 School Year,3.9,3,5.3,4,6.4,4,3.7,3,2.3,3,3,2,3.7,3,"December 08, 2015",4
Z032,03M009,P.S. 9 Sarah Anderson,100 West 84th Street,"New York, NY 10024",District School,18,1899-12-31T08:30:00.000,Full day,false,false,Breakfast/Lunch,Outdoor (onsite) playspace,,99%,,,,,4,24%,2015-16 School Year,6.8,4,6.2,4,2.2,2,2014-15 School Year,3.7,3,4.5,3,5.4,4,3.8,3,1.6,2,3.4,3,3.3,2,"January 20, 2015",4
Z033,03M076,P.S. 76 A. Philip Randolph,220 West 121st Street,"New York, NY 10027",District School,38,1899-12-31T08:20:00.000,Full day,true,true,Breakfast/Lunch/Snack(s),Indoor/Outdoor (onsite) playspace,,88%,100%,98%,96%,96%,10,31%,2014-15 School Year,6.2,4,6.6,4,3.5,3,2015-16 School Year,2.4,1,3,2,3,2,2.2,1,1.2,1,3,2,1.7,1,"November 13, 2015",3
Z034,03M084,P.S. 84 Lillian Weber,32 West 92nd Street,"New York, NY 10025",District School,36,1899-12-31T08:20:00.000,Full day,false,false,Breakfast/Lunch,Indoor/Outdoor (onsite) playspace,,88%,100%,93%,93%,93%,26,90%,2014-15 School Year,6.2,4,5.9,3,3.7,3,2016-17 School Year,5.1,4,6.3,4,5.8,4,6.2,4,3,3,3.6,3,6.8,4,"March 26, 2015",4
Z015,03M087,P.S. 87 William Sherman,160 West 78th Street,"New York, NY 10024",District School,19,1899-12-31T08:20:00.000,Full day,false,false,Breakfast/Lunch,Outdoor (onsite) playspace,,82%,,,,,1,5%,2015-16 School Year,6.1,4,5.8,3,2.7,2,2014-15 School Year,2.9,1,2.5,1,4,3,2.8,1,1.8,2,3.1,2,3.3,2,"December 01, 2016",4
Z065,03M145,"P.S. 145, The Bloomingdale School",150 West 105th Street,"New York, NY 10025",District School,51,1899-12-31T08:15:00.000,Full day,false,false,Breakfast/Lunch,Indoor/Outdoor (onsite) playspace,Dual Language (Spanish/Russian),78%,98%,95%,93%,96%,31,69%,2016-17 School Year,6.4,4,6.2,4,2.2,2,2014-15 School Year,3,2,3.3,2,2.6,1,3.2,2,2.5,3,3.1,2,3.5,3,"November 01, 2016",3
02M397,03M149,P.S. 149 Sojourner Truth,41 West 117th Street,"New York, NY 10026",District School,22,1899-12-31T08:20:00.000,Full day,false,false,Breakfast/Lunch,Indoor/Outdoor (onsite) playspace,,60%,100%,83%,91%,96%,7,32%,2016-17 School Year,6.4,4,6.1,4,1.1,1,2015-16 School Year,2.6,1,2.5,1,2.4,1,2.2,1,2.8,3,3,2,3,2,"April 01, 2017",3
03M009,03M163,P.S. 163 Alfred E. Smith,163 West 97th Street,"New York, NY 10025",District School,28,1899-12-31T08:20:00.000,Full day,false,false,Breakfast/Lunch,Indoor/Outdoor (onsite) playspace,,85%,98%,95%,95%,95%,15,56%,N/A,,,,,,,2016-17 School Year,5,4,7,4,5.8,4,4.4,3,3.5,3,5,4,5.5,4,"November 18, 2015",4
03M076,03M165,P.S. 165 Robert E. Simon,234 West 109th Street,"New York, NY 10025",District School,34,1899-12-31T08:00:00.000,Full day,false,false,Breakfast/Lunch,Indoor/Outdoor (onsite) playspace,,79%,95%,88%,96%,93%,25,81%,2015-16 School Year,5.7,3,5.5,3,3.5,3,2014-15 School Year,4.2,3,5.3,4,5.8,4,4.7,3,2.7,3,3.4,3,3.5,3,"March 23, 2015",3
03M084,03M180,P.S. 180 Hugo Newman,370 West 120th Street,"New York, NY 10027",District School,82,1899-12-31T08:00:00.000,Full day,false,true,Breakfast/Lunch,Indoor/Outdoor (onsite) playspace,Dual Language (Spanish),76%,93%,87%,94%,90%,29,39%,2015-16 School Year,6.1,4,5.7,3,1.7,1,2014-15 School Year,3.6,3,4.8,3,4.8,3,4,3,2.8,3,2.9,1,2.7,1,"December 04, 2015",3
03M087,03M185,P.S. 185 - The Early Childhood Discovery and Design Magnet School,20 West 112th Street,"New York, NY 10026",District School,61,1899-12-31T08:00:00.000,Full day,false,false,Breakfast/Lunch/Snack(s),Indoor/Outdoor (onsite) playspace,,84%,95%,96%,93%,94%,54,95%,2016-17 School Year,6.5,4,6.7,4,3.9,3,2015-16 School Year,4.2,3,6.3,4,5.8,4,3.5,3,2.5,3,4,3,5,4,"March 15, 2016",3
03M145,03M191,P.S. 191 Amsterdam,21 West End Avenue,"New York, NY 10023",District School,68,1899-12-31T08:15:00.000,Full day,false,false,Breakfast/Lunch/Snack(s),Indoor/Outdoor (onsite) playspace,,87%,97%,99%,95%,98%,41,62%,2015-16 School Year,6.6,4,6.7,4,3,2,2014-15 School Year,3.2,2,3.3,2,5,4,3.4,3,1.5,2,3.1,2,3,2,"January 01, 2017",3
03M149,03M242,P.S. 242 - The Young Diplomats Magnet Academy,134 West 122nd Street,"New York, NY 10027",District School,18,1899-12-31T08:10:00.000,Full day,true,true,Breakfast/Lunch,Indoor/Outdoor (onsite) playspace,,87%,96%,97%,97%,98%,9,56%,2016-17 School Year,6.2,4,5.9,3,3.8,3,2015-16 School Year,3.3,2,4,3,3,2,4.5,3,2.3,3,2.8,1,2.7,1,"May 01, 2017",3
03M163,04M007,P.S. 7 Samuel Stern,160 East 120th Street,"New York, NY 10035",District School,25,1899-12-31T08:00:00.000,Full day,false,false,Breakfast/Lunch/Snack(s),Indoor/Outdoor (onsite) playspace,,83%,100%,100%,98%,100%,7,35%,N/A,,,,,,,2016-17 School Year,4.3,3,5.5,4,5.2,4,5.2,4,2.5,3,3.6,3,4.3,3,"March 31, 2016",3
03M165,04M037,River East Elementary,508 East 120th Street,"New York, NY 10035",District School,13,1899-12-31T08:20:00.000,Full day,true,false,Breakfast/Lunch,Outdoor (onsite) playspace,,94%,94%,100%,96%,98%,6,60%,2015-16 School Year,6.4,4,6.2,4,4.6,3,2014-15 School Year,3.5,3,4.8,3,4.6,3,3.6,3,2.3,3,3.4,3,2.3,1,"November 17, 2015",4
03M180,04M038,P.S. 38 Roberto Clemente,232 East 103rd Street,"New York, NY 10029",District School,27,1899-12-31T08:20:00.000,Full day,false,false,Breakfast/Lunch,Indoor/Outdoor (offsite) playspace,,73%,93%,91%,90%,84%,10,42%,2014-15 School Year,5.9,3,5.4,3,3.3,3,2016-17 School Year,4.8,3,5.5,4,6,4,5.6,4,2.7,3,4.3,3,4.5,3,"February 01, 2017",4
03M185,04M057,James Weldon Johnson,176 East 115th Street,"New York, NY 10029",District School,36,1899-12-31T08:00:00.000,Full day,false,false,Breakfast/Lunch,Indoor/Outdoor (onsite) playspace,Dual Language (Spanish),84%,85%,86%,92%,82%,22,67%,N/A,,,,,,,2016-17 School Year,2.7,1,3,2,1.6,1,3.2,2,2,2,2.6,1,3.8,3,"May 11, 2015",3
03M191,04M072,The Lexington Academy,131 East 104th Street,"New York, NY 10029",District School,39,1899-12-31T08:10:00.000,Full day,false,false,Breakfast/Lunch/Snack(s),Indoor,,87%,100%,100%,99%,97%,11,31%,2015-16 School Year,6.6,4,6.5,4,3.3,3,2014-15 School Year,3.5,3,4.5,3,4.4,3,4.4,3,2.3,3,2.8,1,2.8,1,"April 01, 2015",4
03M242,04M083,P.S. 83 Luis Munoz Rivera,219 East 109th Street,"New York, NY 10029",District School,18,1899-12-31T08:15:00.000,Full day,false,false,Breakfast/Lunch/Snack(s),Indoor/Outdoor (onsite) playspace,,91%,100%,100%,97%,99%,11,65%,2016-17 School Year,6.9,4,6.8,4,1.8,1,2015-16 School Year,4.2,3,6,4,5.8,4,3.2,2,3.7,3,3.9,3,4,3,"May 24, 2016",3
