SiteID,Program Code,Name,Site_Address 1,City_State_Zip,Program Type,Enrollment,Daily Start Time,Length of Pre-K Day,Early Drop-off Available,LATE Pick-Up Available,Meals,Playspace,DualLanguage,Collaborative Teachers - Survey Percent Positive,Site_Supportive_Environment -Survey Percent Positive,Site_Effective_Leadership - Survey Percent Positive,Site Strong Family Ties - Survey Percent Positive,Site Trust - Survey Percent Positive,Survey - # of Guardian Responses,Survey -Guardian Response Rate,CLASS Most Recent AssessmentYear,CLASS_Emotional Support Score,CLASS_Emotional Support Rating,CLASS_Classroom Organization Score,CLASS Classrooom Organization Rating,CLASS Instructional Support Score,CLASS Instructional Support Rating,ECERS Most Recent AssessmentYear,ECERS Oberservation Average Score,ECERS Observation Average Score,ECERS Language Reasoning Score,ECERS Language Reasoning Rating,ECERS Interaction Score,ECERS Interaction Rating,ECERS Activities Score,ECERS Activities Rating,ECERS Personal Care Routines Score,ECERS Personal Care Routines Rating,ECERS Space/Furnishings Score,ECERS Space/Furnishings Rating,ECERS Program Structure Score,Ecers Program Structure Rating,Quality Review - Dates_of_Review,Quality Review - How well do teachers work with each other
01M188,01M188,P.S. 188 The Island School,442 EAST HOUSTON STREET,"New York, NY 10002",District School,19,12/31/1899 08:30:00 AM,Full day,No,No,Breakfast / Lunch,Indoor/Outdoor (onsite) playspace,Dual Language (Spanish),100,1,1,1,1,6,100,2017-18 School Year,6.8,4,6.8,4,1.9,1,2016-17 School Year,3.4,3,3.5,3,2.8,1,4.5,3,2,2,4.3,3,1.7,1,01/21/2016 12:00:00 AM,3
01M315,01M315,The East Village Community School,610 East 12 Street,"New York, NY 10009",District School,36,12/31/1899 08:30:00 AM,Full day,Yes,No,Breakfast / Lunch,Indoor/Outdoor (onsite) playspace,,89,0.97,0.97,0.99,0.98,16,67,2016-17 School Year,6.6,4,5.7,3,3.3,3,2017-18 School Year,3.5,3,5,4,6.2,4,3.2,2,1.8,2,3,2,2.7,1,05/05/2016 12:00:00 AM,3
01M361,01M361,The Children's Workshop School,610 East 12 Street,"New York, NY 10009",District School,36,12/31/1899 08:40:00 AM,Full day,Contact Program,Contact Program,Breakfast/Lunch,Indoor/Outdoor (onsite) playspace,,92,0.96,0.9,0.97,0.92,13,54,2016-17 School Year,6.4,4,5.8,3,3,2,2017-18 School Year,4.2,3,4.5,3,5.8,4,4.7,3,2.3,3,3.5,3,4.5,3,05/10/2016 12:00:00 AM,3
01M363,01M363,Neighborhood School,121 East 3 Street,"New York, NY 10009",District School,18,12/31/1899 08:25:00 AM,Full day,Yes,Yes,Breakfast/Lunch,Indoor/Outdoor (onsite) playspace,,87,0.95,1,0.98,1,7,100,2017-18 School Year,6.4,4,5.5,3,2.5,2,2015-16 School Year,3.3,2,4.8,3,4.2,3,4.2,3,1.5,2,2.3,1,3.3,2,02/01/2018 12:00:00 AM,3
01M364,01M364,Earth School,600 East 6 Street,"New York, NY 10009",District School,35,12/31/1899 08:30:00 AM,Full day,Yes,Yes,Breakfast/Lunch,Indoor/Outdoor (onsite) playspace,,93,0.97,0.98,0.95,0.97,14,78,2017-18 School Year,6.8,4,5.7,3,3.1,2,2015-16 School Year,2.7,1,3,2,2.8,1,3.1,2,1.5,2,2.4,1,3.5,3,,
02M001,02M001,P.S. 001 Alfred E. Smith,8 HENRY STREET,"New York, NY 10038",District School,24,12/31/1899 08:15:00 AM,Full day,Contact Program,Contact Program,Breakfast/Lunch/Snack(s),Indoor/Outdoor (onsite) playspace,Dual Language (Chinese),86,0.95,1,0.92,0.97,10,83,2016-17 School Year,6.9,4,6.9,4,3.5,3,2017-18 School Year,4.8,3,5.5,4,5.4,4,5.8,4,3.2,3,4,3,4.5,3,05/13/2016 12:00:00 AM,3
02M002,02M002,P.S. 002 Meyer London,122 HENRY STREET,"New York, NY 10002",District School,22,12/31/1899 08:15:00 AM,Full day,No,No,Breakfast / Lunch,Outdoor (onsite) playspace,,91,1,1,0.99,1,8,89,2017-18 School Year,6.9,4,6.6,4,3.9,3,2015-16 School Year,3.4,3,4.8,3,4.4,3,2.7,1,3,3,3.3,2,4,3,04/01/2017 12:00:00 AM,3
02M003,02M003,P.S. 003 Charrette School,490 HUDSON STREET,"New York, NY 10014",District School,54,12/31/1899 08:20:00 AM,Full day,No,Yes,Breakfast / Lunch,Indoor/Outdoor (onsite) playspace,,89,1,0.96,0.92,0.98,15,52,2017-18 School Year,6.7,4,6.5,4,3.8,3,2015-16 School Year,3.8,3,4.5,3,6,4,4.2,3,2.7,3,2.5,1,3.7,3,12/01/2017 12:00:00 AM,3
02M006,02M006,P.S. 6 Lillie D. Blake,45 East 81 Street,"New York, NY 10028",District School,78,12/31/1899 08:15:00 AM,Full day,Contact Program,Contact Program,Breakfast/Lunch,Outdoor (onsite) playspace,,87,0.97,0.87,0.88,0.9,39,83,2017-18 School Year,7,4,7,4,3.5,3,2016-17 School Year,4.9,3,7,4,5.8,4,5.2,4,2.7,3,5,4,4.3,3,05/17/2016 12:00:00 AM,4
02M033,02M033,P.S. 033 Chelsea Prep,281 Ninth Avenue,"New York, NY 10001",District School,36,12/31/1899 08:20:00 AM,Full day,Contact Program,Yes,Breakfast/Lunch,Indoor/Outdoor (onsite) playspace,,66,0.87,0.77,0.8,0.77,12,52,2017-18 School Year,7,4,6.9,4,2.7,2,2016-17 School Year,4.8,3,6.3,4,6.4,4,5.5,4,2.8,3,3.6,3,5.3,4,10/01/2017 12:00:00 AM,4
02M040,02M040,P.S. 040 Augustus Saint-Gaudens,319 East 19 Street,"New York, NY 10003",District School,36,12/31/1899 08:20:00 AM,Full day,No,No,Breakfast / Lunch,Indoor/Outdoor (onsite) playspace,,94,0.8,1,0.96,0.97,6,60,2016-17 School Year,6.8,4,6.9,4,3.6,3,2017-18 School Year,4.7,3,6.3,4,5.8,4,4.9,3,3,3,5,4,3.5,3,03/30/2016 12:00:00 AM,4
02M041,02M041,P.S. 041 Greenwich Village,116 West 11 Street,"New York, NY 10011",District School,36,12/31/1899 08:40:00 AM,Full day,Yes,Yes,Contact program directly for details,Please contact site for more information,,95,,,,,2,22,2016-17 School Year,6.8,4,6.4,4,2.4,2,2015-16 School Year,3.6,3,5.5,4,4.6,3,3.3,2,2.2,2,3.6,3,2.7,1,05/19/2016 12:00:00 AM,4
02M042,02M042,P.S. 042 Benjamin Altman,71 HESTER STREET,"New York, NY 10002",District School,42,12/31/1899 08:20:00 AM,Full day,Contact Program,Yes,Breakfast/Lunch/Snack(s),Indoor/Outdoor (onsite) playspace,,94,1,0.99,0.96,1,30,100,2015-16 School Year,6.8,4,6.6,4,2.4,2,2017-18 School Year,4.9,3,5.5,4,6.6,4,5.5,4,3,3,4.9,3,2.7,1,,
02M051,02M051,P.S. 051 Elias Howe,525 WEST 44 STREET,"New York, NY 10036",District School,68,12/31/1899 08:15:00 AM,Full day,Yes,No,Breakfast / Lunch,Indoor/Outdoor (onsite) playspace,,93,0.99,0.99,0.96,0.97,41,75,2017-18 School Year,6.4,4,5.9,3,1.9,1,2016-17 School Year,3.1,2,3,2,3.4,3,2.7,1,3,3,3.4,3,3,2,,
02M059,02M059,P.S. 059 Beekman Hill International,231-249 East 56 Street,"Manhattan, NY 10022",District School,20,12/31/1899 08:45:00 AM,Full day,Yes,Contact Program,Breakfast/Lunch/Snack(s),Please contact site for more information,,86,,,,,4,100,N/A,,,,,,,2017-18 School Year,4.6,3,5.3,4,7,4,4,3,3.7,3,4.3,3,4,3,,
02M089,02M089,P.S. 89,201 WARREN STREET,"New York, NY 10282",District School,36,12/31/1899 08:40:00 AM,Full day,Contact Program,Contact Program,Breakfast/Lunch,Outdoor (onsite) playspace,,91,1,1,0.98,1,8,80,2016-17 School Year,6.7,4,6.3,4,3,2,2015-16 School Year,3.9,3,6.3,4,4.8,3,3.7,3,1.8,2,3.5,3,4.8,3,05/01/2017 12:00:00 AM,4
02M111,02M111,P.S. 111 Adolph S. Ochs,440 West 53 Street,"New York, NY 10019",District School,46,12/31/1899 08:20:00 AM,Full day,No,No,Breakfast / Lunch,Indoor/Outdoor (onsite) playspace,,78,0.97,0.99,0.93,0.93,19,68,2016-17 School Year,6.5,4,6.5,4,3.2,2,2015-16 School Year,3.3,2,3.3,2,4.8,3,2.6,1,2,2,4.1,3,3.3,2,11/01/2016 12:00:00 AM,3
02M116,02M116,P.S. 116 Mary Lindley Murray,210 East 33 Street,"New York, NY 10016",District School,47,12/31/1899 08:15:00 AM,Full day,Contact Program,Contact Program,Breakfast/Lunch,Outdoor (onsite) playspace,,95,1,0.88,0.9,0.9,16,59,2015-16 School Year,6.4,4,6.4,4,1.6,1,2017-18 School Year,4.1,3,4.5,3,5.2,4,4.3,3,2.7,3,3.5,3,5.5,4,,
02M124,02M124,P.S. 124 Yung Wing,40 DIVISION STREET,"New York, NY 10002",District School,56,12/31/1899 08:10:00 AM,Full day,Yes,Contact Program,N/A,Indoor/Outdoor (onsite) playspace,,78,1,0.94,0.91,0.95,38,100,2016-17 School Year,6.7,4,6.4,4,3,2,2015-16 School Year,4.9,3,6.5,4,6,4,5,4,3.6,3,4,3,5.5,4,01/01/2017 12:00:00 AM,4
02M126,02M126,P.S. 126 Jacob August Riis,80 CATHERINE STREET,"New York, NY 10038",District School,28,12/31/1899 08:20:00 AM,Full day,No,No,Breakfast / Lunch,Indoor/Outdoor (offsite) playspace,,89,,,,,0,0,2017-18 School Year,6.6,4,6.6,4,4.4,3,2017-18 School Year,4.3,3,5.5,4,6,4,4.2,3,2.8,3,4.4,3,2.7,1,,
02M130,02M130,P.S. 130 Hernando De Soto,143 BAXTER STREET,"New York, NY 10013",District School,36,12/31/1899 08:15:00 AM,Full day,No,No,Breakfast / Lunch,Indoor/Outdoor (onsite) playspace,,94,0.95,0.96,0.9,0.98,19,95,2016-17 School Year,6.6,4,6.3,4,3.1,2,2015-16 School Year,4.5,3,6.8,4,5.6,4,4.4,3,3,3,3.9,3,4.5,3,,
02M150,02M150,P.S. 150,334 GREENWICH STREET,"New York, NY 10013",District School,18,12/31/1899 08:40:00 AM,Full day,Contact Program,Contact Program,Breakfast/Lunch,Outdoor (onsite) playspace,,100,0.92,1,0.92,1,6,75,2016-17 School Year,6.9,4,6.8,4,2.9,2,2015-16 School Year,4.1,3,5.8,4,6.4,4,4.4,3,2.2,2,3,2,3.7,3,,
02M151,02M151,Yorkville Community School,421 East 88 Street,"New York, NY 10128",District School,40,12/31/1899 08:40:00 AM,Full day,Contact Program,Yes,Breakfast/Lunch/Snack(s),Please contact site for more information,,94,1,0.97,0.98,1,20,71,2017-18 School Year,7,4,7,4,3.7,3,2016-17 School Year,4.6,3,6.3,4,6,4,5.3,4,2.5,3,4.3,3,2.3,1,11/24/2015 12:00:00 AM,4
02M158,02M158,P.S. 158 Bayard Taylor,1458 YORK AVENUE,"New York, NY 10075",District School,72,12/31/1899 08:30:00 AM,Full day,No,No,Breakfast / Lunch,Indoor/Outdoor (onsite) playspace,,78,0.91,0.94,0.92,0.9,22,61,2015-16 School Year,6.9,4,6.5,4,2.2,2,2017-18 School Year,4.2,3,5.5,4,5.8,4,4.2,3,2.3,3,3.4,3,5,4,,
02M183,02M183,P.S. 183 Robert L. Stevenson,419 East 66 Street,"New York, NY 10065",District School,40,12/31/1899 08:30:00 AM,Full day,Contact Program,Yes,Contact program directly for details,Please contact site for more information,,88,1,0.92,0.99,0.96,14,74,2017-18 School Year,7,4,7,4,2.5,2,2016-17 School Year,4.4,3,5.5,4,5.8,4,4.2,3,2.7,3,4,3,5.5,4,,
02M198,02M198,P.S. 198 Isador E. Ida Straus,1700 Third Avenue,"New York, NY 10128",District School,49,12/31/1899 08:00:00 AM,Full day,No,No,Breakfast / Lunch,Indoor/Outdoor (onsite) playspace,,83,0.97,0.99,0.96,0.99,32,84,2016-17 School Year,6.6,4,6.7,4,2.4,2,2017-18 School Year,3.9,3,4.8,3,5.4,4,3.7,3,2.7,3,3.8,3,3.5,3,10/01/2016 12:00:00 AM,3
02M212,02M212,P.S. 212 Midtown West,328 West 48 Street,"New York, NY 10036",District School,36,12/31/1899 08:40:00 AM,Full day,No,No,Breakfast / Lunch / Snack(s),Indoor/Outdoor (onsite) playspace,,96,0.87,0.94,0.93,0.92,21,100,2016-17 School Year,6.9,4,7,4,4.6,3,2017-18 School Year,3.1,2,4.3,3,3.8,3,3.4,3,1.8,2,2.5,1,3.3,2,,
02M217,02M217,P.S./I.S. 217 Roosevelt Island,645 MAIN STREET,"New York, NY 10044",District School,36,12/31/1899 08:25:00 AM,Full day,Contact Program,Contact Program,Lunch/Snack(s),Indoor/Outdoor (onsite) playspace,,92,0.67,0.74,0.93,0.88,7,47,2017-18 School Year,6.9,4,6.8,4,3.1,2,2016-17 School Year,4.4,3,5.3,4,4.8,3,4.6,3,1.8,2,5,4,5.7,4,03/01/2018 12:00:00 AM,4
02M225,02M225,Ella Baker School,317 East 67 Street,"New York, NY 10065",District School,40,12/31/1899 08:30:00 AM,Full day,Contact Program,Yes,Breakfast/Lunch/Snack(s),Indoor/Outdoor (onsite) playspace,,90,1,0.99,0.95,0.99,21,64,2015-16 School Year,6.3,4,5.6,3,1,1,2017-18 School Year,3.3,2,4,3,5.4,4,2.9,1,2,2,2.9,1,4,3,02/01/2018 12:00:00 AM,3
02M281,02M281,The River School,425 EAST 35 STREET,"New York, NY 10016",District School,36,12/31/1899 08:30:00 AM,Full day,No,No,Breakfast / Lunch / Snack(s),Indoor/Outdoor (onsite) playspace,,98,1,1,0.98,1,24,83,2015-16 School Year,6.8,4,6.8,4,3.3,3,2017-18 School Year,4.5,3,4.8,3,5.4,4,5.5,4,2.3,3,5,4,2.7,1,01/01/2017 12:00:00 AM,3
02M340,02M340,Sixth Avenue Elementary School,590 Sixth Avenue,"New York, NY 10011",District School,71,12/31/1899 08:20:00 AM,Full day,Contact Program,Yes,Breakfast/Lunch,Indoor/Outdoor (onsite) playspace,,90,0.96,0.96,0.94,0.95,36,62,2015-16 School Year,6.6,4,6.8,4,2.8,2,2017-18 School Year,4.2,3,4.3,3,6.4,4,3.5,3,2.5,3,4.1,3,5.8,4,04/01/2017 12:00:00 AM,3
02M343,02M343,The Peck Slip School,1 Peck Slip,"New York, NY 10038",District School,35,12/31/1899 08:15:00 AM,Full day,Contact Program,Contact Program,Breakfast/Lunch/Snack(s),Please contact site for more information,,95,1,0.98,0.96,0.98,16,80,2016-17 School Year,6.5,4,5.9,3,2.1,2,2017-18 School Year,4.1,3,5.3,4,3.2,2,4.4,3,2.5,3,4.4,3,5,4,,
03M009,03M009,P.S. 009 Sarah Anderson,100 West 84 Street,"New York, NY 10024",District School,18,12/31/1899 08:30:00 AM,Full day,Contact Program,Contact Program,N/A,Outdoor (onsite) playspace,,97,,,,,4,80,2015-16 School Year,6.8,4,6.2,4,2.2,2,2017-18 School Year,4.3,3,4.8,3,6,4,5.2,4,2.5,3,3.3,2,4.5,3,,
03M076,03M076,P.S. 076 A. Philip Randolph,220 West 121 Street,"New York, NY 10027",District School,36,12/31/1899 08:20:00 AM,Full day,Yes,Yes,Breakfast/Lunch/Snack(s),Indoor/Outdoor (onsite) playspace,,87,0.88,0.87,0.94,0.87,17,81,2017-18 School Year,6.9,4,6.6,4,2.5,2,2015-16 School Year,2.4,1,3,2,3,2,2.2,1,1.2,1,3,2,1.7,1,01/01/2018 12:00:00 AM,3
03M084,03M084,P.S. 084 Lillian Weber,32 West 92 Street,"New York, NY 10025",District School,105,12/31/1899 08:20:00 AM,Full day,Contact Program,Contact Program,N/A,Indoor/Outdoor (onsite) playspace,,93,0.98,0.9,0.94,0.95,58,65,2017-18 School Year,7,4,6.9,4,3.1,2,2016-17 School Year,5.1,4,6.3,4,5.8,4,6.2,4,3,3,3.6,3,6.8,4,,
03M087,03M087,P.S. 087 William Sherman,160 West 78 Street,"New York, NY 10024",District School,18,12/31/1899 08:20:00 AM,Full day,No,No,Lunch / Snack(s),Outdoor (onsite) playspace,,77,,,,,4,100,2015-16 School Year,6.1,4,5.8,3,2.7,2,2017-18 School Year,4,3,5,4,3.8,3,4.8,3,3.2,3,2.8,1,5.5,4,12/01/2016 12:00:00 AM,4
03M145,03M145,"P.S. 145, The Bloomingdale School",150 West 105 Street,"New York, NY 10025",District School,45,12/31/1899 08:15:00 AM,Full day,Contact Program,Contact Program,Breakfast/Lunch,Indoor/Outdoor (onsite) playspace,Dual Language (Spanish/Russian),77,0.98,0.96,0.93,0.95,25,100,2017-18 School Year,7,4,7,4,4,3,2017-18 School Year,3.4,3,4.8,3,3.6,3,3.5,3,2.5,3,3.1,2,3.7,3,11/01/2016 12:00:00 AM,3
03M149,03M149,P.S. 149 Sojourner Truth,41 West 117 Street,"New York, NY 10026",District School,18,12/31/1899 08:20:00 AM,Full day,Contact Program,Contact Program,Breakfast/Lunch,Indoor/Outdoor (onsite) playspace,,73,0.87,0.75,0.89,0.92,8,100,2017-18 School Year,5.1,3,4.8,2,2.3,2,2015-16 School Year,2.6,1,2.5,1,2.4,1,2.2,1,2.8,3,3,2,3,2,05/01/2018 12:00:00 AM,3
03M163,03M163,P.S. 163 Alfred E. Smith,163 West 97 Street,"New York, NY 10025",District School,31,12/31/1899 08:20:00 AM,Full day,No,No,Breakfast / Lunch,Indoor/Outdoor (onsite) playspace,,81,1,0.94,0.96,0.83,7,37,2017-18 School Year,6.9,4,6.9,4,3.2,2,2016-17 School Year,5,4,7,4,5.8,4,4.4,3,3.5,3,5,4,5.5,4,10/01/2017 12:00:00 AM,4
03M165,03M165,P.S. 165 Robert E. Simon,234 West 109 Street,"New York, NY 10025",District School,31,12/31/1899 08:00:00 AM,Full day,Contact Program,Contact Program,Breakfast/Lunch,Indoor/Outdoor (onsite) playspace,,84,0.97,1,0.96,1,15,75,2017-18 School Year,7,4,6.9,4,3,2,2017-18 School Year,4.9,3,6.3,4,5,4,5.5,4,2.3,3,5,4,5.8,4,01/01/2018 12:00:00 AM,3
03M180,03M180,P.S. 180 Hugo Newman,370 West 120 Street,"New York, NY 10027",District School,83,12/31/1899 08:00:00 AM,Full day,No,Yes,Breakfast / Lunch,Indoor/Outdoor (onsite) playspace,Dual Language (Spanish),65,0.92,0.95,0.92,0.95,38,63,2015-16 School Year,6.1,4,5.7,3,1.7,1,2017-18 School Year,4.3,3,5.5,4,6.4,4,4.3,3,3.2,3,2.9,1,4.7,3,01/01/2018 12:00:00 AM,3
03M185,03M185,P.S. 185 - The Early Childhood Discovery and Design Magnet School,20 West 112 Street,"New York, NY 10026",District School,67,12/31/1899 08:00:00 AM,Full day,Contact Program,Contact Program,Breakfast/Lunch/Snack(s),Indoor/Outdoor (onsite) playspace,,83,0.93,0.94,0.92,0.93,47,100,2017-18 School Year,7,4,7,4,4.2,3,2015-16 School Year,4.2,3,6.3,4,5.8,4,3.5,3,2.5,3,4,3,5,4,03/15/2016 12:00:00 AM,3
03M191,03M191,The Riverside School for Makers and Artists,210 West 61 Street,"New York, NY 10023",District School,72,12/31/1899 08:15:00 AM,Full day,Contact Program,Contact Program,Breakfast/Lunch/Snack(s),Indoor/Outdoor (onsite) playspace,,84,0.96,0.94,0.96,0.91,47,82,2015-16 School Year,6.6,4,6.7,4,3,2,2017-18 School Year,4.2,3,4.8,3,3.4,3,4.3,3,3,3,4.8,3,5.3,4,01/01/2017 12:00:00 AM,3
03M242,03M242,P.S. 242 - The Young Diplomats Magnet Academy,134 West 122 Street,"New York, NY 10027",District School,18,12/31/1899 08:10:00 AM,Full day,Yes,Yes,Breakfast/Lunch,Indoor/Outdoor (onsite) playspace,,79,0.94,0.97,0.94,0.87,9,64,2016-17 School Year,6.2,4,5.9,3,3.8,3,2017-18 School Year,3,2,4.3,3,2.4,1,3.2,2,2.5,3,3.1,2,2,1,05/01/2017 12:00:00 AM,3
03M452,03M452,P.S. 452,210 West 61 Street,"New York, NY 10023",District School,53,12/31/1899 08:40:00 AM,Full day,No,No,Breakfast / Lunch,Indoor/Outdoor (onsite) playspace,,91,0.99,0.97,0.96,0.98,29,67,N/A,,,,,,,2017-18 School Year,4.2,3,4.3,3,5.4,4,4.6,3,3,3,3.5,3,5.3,4,,
04M007,04M007,P.S. 007 Samuel Stern,160 East 120 Street,"New York, NY 10035",District School,20,12/31/1899 08:00:00 AM,Full day,Contact Program,Contact Program,Breakfast/Lunch/Snack(s),Indoor/Outdoor (onsite) playspace,,76,1,0.96,0.95,0.97,8,53,2017-18 School Year,6.7,4,6.6,4,3.1,2,2016-17 School Year,4.3,3,5.5,4,5.2,4,5.2,4,2.5,3,3.6,3,4.3,3,03/31/2016 12:00:00 AM,3
04M037,04M037,River East Elementary,508 East 120 Street,"New York, NY 10035",District School,17,12/31/1899 08:00:00 AM,Full day,Yes,No,Breakfast / Lunch,Outdoor (onsite) playspace,,95,1,1,0.96,0.99,12,92,2015-16 School Year,6.4,4,6.2,4,4.6,3,2017-18 School Year,5.4,4,6,4,6.8,4,5.8,4,4.5,4,4.4,3,5.3,4,11/17/2015 12:00:00 AM,4
04M038,04M038,P.S. 38 Roberto Clemente,232 East 103 Street,"New York, NY 10029",District School,26,12/31/1899 08:20:00 AM,Full day,No,No,Breakfast / Lunch,Indoor/Outdoor (offsite) playspace,,79,1,0.99,0.94,0.95,19,100,2017-18 School Year,6.5,4,6.3,4,3.3,3,2016-17 School Year,4.8,3,5.5,4,6,4,5.6,4,2.7,3,4.3,3,4.5,3,02/01/2017 12:00:00 AM,4
04M057,04M057,James Weldon Johnson,176 East 115 Street,"New York, NY 10029",District School,35,12/31/1899 08:00:00 AM,Full day,Contact Program,Contact Program,Breakfast/Lunch,Indoor/Outdoor (onsite) playspace,Dual Language (Spanish),84,1,0.92,0.98,0.98,14,82,2017-18 School Year,6.4,4,6.1,4,2.2,2,2016-17 School Year,2.7,1,3,2,1.6,1,3.2,2,2,2,2.6,1,3.8,3,02/01/2018 12:00:00 AM,3
04M072,04M072,The Lexington Academy,131 East 104 Street,"New York, NY 10029",District School,26,12/31/1899 08:10:00 AM,Full day,Contact Program,Contact Program,Breakfast/Lunch/Snack(s),Indoor,,92,0.93,0.87,0.94,0.93,8,53,2017-18 School Year,7,4,7,4,3.7,3,2017-18 School Year,4.2,3,5.5,4,4.8,3,4.8,3,3.2,3,3.8,3,3.5,3,,
